filename,text,total
fdac113b2a,भएको मानिन्छ,12
63ccc585ac,आमैले तिनलाई,12
6d244420d9,चिलाउने खर्क,12
ff8872d117,सङ्केत गर्दछ,12
a520830de7,प्रभावित छैन,12
462ac49fb9,रहेका भए पनि,12
6dc3c5b79a,अधिक समयसम्म,12
465f4f1a75,बनाए तर यसको,12
6deab20bfd,पेमा लामासँग,12
13710ce29d,भएको सरकारले,12
8b8b1dcdf4,छ महिनाभित्र,12
8cf9f700b8,टुक्रा बनायो,12
a380ca5f1f,जारी गरिदियो,12
fe457df24f,उल्टो नै भएर,12
632d85d5df,दिइने समयलाई,12
fdb92c3499,नेपाल परिवार,12
63333f8712,एसआई एकाइ हो,12
8cf1887e45,पार्दै लग्यो,12
a5a745f029,मुख्य गरी यस,12
63c2ed64ce,त्यहाँ पुगेर,12
37468d0c00,ती उपकरण तथा,12
4dc025ea56,फैसला गर्‍यो,12
647bb9fc62,नेपाल देख्छौ,12
fe2ee845b4,तमान नेपालको,12
82c23da90d,साबित भएको छ,12
8373f8828c,यो समय भनेको,12
e64dfbf7bf,घरानाका हुन्,12
e60f6a95f6,उनको कुरालाई,12
a6caf7dce4,दुर गर्ने वा,12
a6a58fd8fd,भयो जसको नाम,12
a6abdccf62,सेनापति हुन्,12
fb92e2fbe8,किम नभई उनको,12
fc141c0bb7,राख्न ठेकीको,12
fb9a517d5b,दल नेपाल आयो,12
1380aada6c,पूजाले गर्दा,12
13798dc199,के गर्दै छन्,12
e81019ec07,यिनी नेपालका,12
fdf5564fcd,वर्ग हुन्छन्,12
a52ae4b1d1,शासनमा रह्यो,12
452138bc07,सृष्टि हुन्छ,12
37df963135,कृषि तथा पशु,12
48b9bf7254,हिमाल मनासलु,12
65593f04f2,यो मेरो छोटो,12
0197956fdf,पूर्वी किनार,12
6e6aa3bee2,फाल्नुभएन बा,12
e4a797287d,ध्वाँसे चिबे,12
8cf10975aa,लेख्नुभएको छ,12
e61ebcd06b,पुरानीकोट हो,12
8c4975622b,ट्रामहरू गौण,12
1233be1b10,के गर्दै छन्,12
fdae0b014f,मेची नदी सदा,12
9153a638b1,भिन्न हुन्छ।,12
5cd57ac891,सफल भएका छन्,12
1232e31f33,यसको साथै यो,12
e5db0aea70,उपदेश पाइन्छ,12
fdf906ae64,व्यतित गर्ने,12
a69e79fcf5,जयसेनको छोरा,12
fc0143fb08,उजागर गर्नेछ,12
484c253858,शेरमान कुँवर,12
3809871880,चेक वा बढीमा,12
48bb5122bc,रोपिने गर्दछ,12
e867691f10,आफूले आवश्यक,12
63eecd505d,आजको एक हजार,12
44dea4b573,आङ लीको जन्म,12
a537093196,नाटकीय बन्यो,12
633e93eca0,गरे यसमा एलन,12
1246bed12e,उमेरमा चुरोट,12
e86b7a9135,बचेका भए भोट,12
465433027e,गलत हुने छैन,12
5d7bdd47af,धेरै धन्यवाद,12
e5d5339479,प्रयास गरे र,12
8f5f4fa150,तर उनले मसँग,12
016568d777,मात्र गरेनन्,12
e65a9897a3,कुनै जातिलाई,12
00594ddbe7,रेड बुक पढेर,12
8c49b6aece,लगाउने चाहना,12
fb9c861dca,यो सम्भव छैन,12
fc1038a922,अध्ययन गरिन्,12
e5d6ee037a,फैसला गर्‍यो,12
37146ae413,प्रयोग हुन्छ,12
634274339b,निसी नेपालको,12
016f10cc05,यसको भौगोलिक,12
a69fab84c8,यी सन्तले यस,12
8b84ec8c09,गर्न चाहन्थे,12
019cc34883,शेरमान कुँवर,12
a531438151,आँधीबेहरी हो,12
fe3822ae86,रहेका थिएनन्,12
013c4090e9,निकै रहेको छ,12
00062958ef,भाग लिन थाले,12
14c61587ac,उनले तुरुन्त,12
4dbc83fa34,सिक्ख समाजले,12
5cf1f55438,अधिक जानकारी,12
8b5c179f34,गठन गर्नुभयो,12
8f5bb86911,छ महिनाभित्र,12
4519a2ec95,उड्न सक्छ यस,12
6298f58b94,सम्मिलित थिए,12
834993e0e2,यो एक्सचेन्ज,12
13a03995ce,भवनका आँगनमा,12
8d712b6d6c,इतिहासमा पनि,12
467c3fc21f,रूपमा लिइन्छ,12
8d0685207c,गर्न सकियोस्,12
8d482ba52a,बनाएर मिलाएर,12
4e4f576d6c,डुब्न लाग्यो,12
fc095e774f,आग्रह गर्दछु,12
0008fd3262,भवनहरु जलाइए,12
00541975bc,सिद्ध भयो तर,12
63da1a3523,आउने गर्दछन्,12
1373107384,यसै कारणले म,12
8d3b7f1234,यो झरना करिब,12
374dc7e381,रसुवा जिल्ला,12
e7fbd90a1a,यिनलाई आफ्नो,12
8d77ee61df,जेल बस्नुभयो,12
3987548f70,बचाउन सकिन्छ,12
a36fe3259f,निर्माण सेता,12
fbcefccb1a,कस्ता दिनहरु,12
65629096aa,हामी छाप्छौँ,12
6d1c60ca3d,एक गोल गर्दै,12
0169c22a5d,आविष्कार भयो,12
8f51ffdc95,व्यवस्था छैन,12
123a035bd7,किम्वदन्ती छ,12
fc012e4960,एकजना मुनिले,12
37e60df44a,स्वर्ग नरकमा,12
8c64d38ad7,जीवनको नाममा,12
5d7e4031a7,केही शिक्षित,12
fb94ff4aec,सम्बोधित गरे,12
a371cb097b,एक पटक आफ्नो,12
e5ec9ff47d,सहरमा दुईवटा,12
6e768d5a11,गाँसिएको पात,12
a5640fde50,तथा दुई छाने,12
ff9a206136,कतिमा सफल भए,12
e5bfb69b09,कुनै पनि काम,12
47c3f5a83e,यस प्रकार यस,12
13c0fa081c,तल उल्लेख भए,12
e7caabef53,जोगाई राख्ने,12
fdb6e60435,त्यसै दिन एक,12
4dbdb398cf,दिनहरूको समय,12
90e44d5122,समय एकदम फरक,12
461c4faf88,यसबाहेक यसमा,12
01663d527e,अब बाँचेर यो,12
a59df6baa5,गरिदिनु होला,12
5ccf4de368,अनुसार नै यस,12
393b5328f7,धरतीको गर्मी,12
8b8539484c,माले अखिलबाट,12
90e3b9de07,मृत्यु हुन्छ,12
e5d45c4ea7,तस्वीर अपलोड,12
019ddb9b65,ध्वाँसे चिबे,12
8eb55593ac,खर्च फिल्ममा,12
13bf22e5fb,एल मोरिसन एक,12
02e8d18d4a,मैले राम्ररी,12
e612a79fde,भइरहेको थियो,12
013cdba6e8,मेरो दिमागमा,12
a6ae26ed19,तर मेरो पढाइ,12
47b7e22b11,भने फेरि पनि,12
649c63d19c,जसमा विश्वको,12
8f1ad9bc8f,म अब जथाभावी,12
468cb6ddda,छोडिएको थियो,12
fde1bd24b9,सम्म काम गरे,12
e5eddc7bbd,घर बनाई बजार,12
450496550e,पूजाले गर्दा,12
e839d0e15e,रूप लिइसक्यो,12
a3474b97d0,आइपुग्दा पनि,12
82d3dd8c1f,सम्भार गरेमा,12
ffc5696254,विद्यमान छन्,12
464810fb03,एउटा नाटक हो,12
46724f40d8,यदि तपाईँ यो,12
8417ce50de,पाइसकेका थिए,12
63b1cad68b,र भित्री कान,12
a579d158d5,बहुलवाद थिएन,12
02fc106029,समेत काम गरे,12
a328cbd9f7,घोषित गर्‍यो,12
5d7aacb7e3,राखिएको छ तर,12
910a08a030,पत्ता लाग्ने,12
a52ea4f2c9,मौका पनि पाए,12
0189245c1b,भजन थाले पनि,12
8b81f52453,शिक्षक हुँदा,12
ffe2bdef48,वचन नदिएसम्म,12
6476c6acf6,सबैमा दया गर,12
63253a50e5,गर्‍यो र सन्,12
912386b57e,उहाँ भुटानका,12
6494060d69,यो एउटा दिवस,12
64a42256a7,भगवान् बुद्ध,12
fdca6682c8,तर यति मात्र,12
8ee65602fe,ढोला नेपालको,12
e487ffaebf,यमुना नदीहरू,12
84149c5420,उनले घर छाडे,12
1396e205ee,फोर्समा करिब,12
6dc8bf5fe9,दु विकु दुले,12
0033cfeddb,पाइने चरा हो,12
a55b4c0c3a,छाप पनि छोडे,12
e5fc7f3967,यसले पनि जिन,12
02f771e474,जीवनमा घटेका,12
fe1a24356c,वा बज्र पर्छ,12
39531f0455,विकृत गरिदिए,12
44f2064e9c,मोडेलहरू छन्,12
00189ddfe4,उल्टो पर्‍यो,12
e474bbd939,छोरीको रूपमा,12
00033e7a6c,धेरै धन्यवाद,12
13b0554769,विकासमा टेवा,12
fb9eff9a62,श्रमिक मजदूर,12
37245df94a,उपनाम भनिन्छ,12
8f08901e7c,बगेको देखिन्,12
ffbb439022,जोसँग भोजन छ,12
48bbe96baf,लेखनाथ भन्थे,12
90e493c163,रोनाल्डो थिए,12
fbd0ae3d57,गर्दै आए पनि,12
a55989f65d,नाम लेखिँदैन,12
13ac7d1066,भन्न चाहन्छु,12
656f58dec5,रूपमा गाइन्छ,12
017b675b70,यसको आधार हो,12
4799dec514,भनेको छन् कि,12
5cdcfc6b0c,थापिएको थियो,12
9121a1ab75,फल खान योग्य,12
e5f92243d9,चिफ अफ स्टाफ,12
e841340f33,स्थापित भएको,12
463fa87aa7,यसमा दोष गलत,12
a5472f2ad5,लेख्न त मलाई,12
a54bb221df,नयाँ खोज तथा,12
fbd3178571,गर्नु राम्रो,12
4843c6a957,उनका पितालाई,12
03041da258,हरेक गतिविधि,12
9112b77362,लायक भएको हो,12
a332bac6a9,आइपुगेका थिए,12
ffcc05e3df,पेमा लामासँग,12
01837e1834,यस मठको आधार,12
82d081a41d,गण्डकी अञ्चल,12
463f06a3f0,पनि सिटहरूको,12
ffcce4cc69,केही फेर बदल,12
1204d9b28d,विद्धमान छन्,12
46485a3015,यस्ता जनताका,12
a3276e9fe4,पछि यो किताब,12
3964df7df7,पहाडमा पर्दछ,12
3964d8fecf,काठमाडौँमा छ,12
a5831ff1aa,गारदमा मसँगै,12
a332c8326d,विश्वास छ कि,12
ffce9af4c7,अथवा अधुरो छ,12
014c5101d0,यस कारण अचेल,12
38125f6f1a,केही सुझाव छ,12
a6d92a0790,घुँइचो हुन्छ,12
e5f7423796,निजामती सेवा,12
e5f81342de,देखि नै धेरै,12
0021f02f4a,छन् अथवा लेख,12
14ace9d144,एउटा नाटक हो,12
911976f9d4,अनुगमन गर्ने,12
5d6a815817,परि उपसर्गले,12
a32b8a176e,सायद यी कुरा,12
a33f73b805,लागि काटिन्छ,12
ffdeb33058,गलत हुने छैन,12
02fdd13f1f,त्यो खर्चबाट,12
a57a9b6b17,सम्मान गर्दै,12
a587c59267,कमी छ कि कति,12
fbdec43cbe,दिने बचन दिए,12
fbd4506da5,नेपाली फुटबल,12
4dc98eba57,गरिबक्सेको छ,12
82d5a5b591,पक्कै पनि मन,12
82d5b83d59,लोथर र मनहरी,12
4796ba418f,भन्न जरुरी छ,12
5ccb309d9c,उनलाई दिइन्छ,12
8ed90e991e,उनले पनि गदा,12
47951fb9e5,आधारित छ भने,12
8d3e4a7829,कारण यमुनामा,12
372027ff2d,त्यहाँ सफलता,12
6d0bc86ac6,सेनापति हुन्,12
a6dd856ad1,ग्रह राहु हो,12
e6342a6845,किन किन मलाई,12
4ea7ed5c23,एक धर्म नभएर,12
e620d8c236,घर रहेका छन्,12
380d9adf3d,खानु नै पर्छ,12
394a6b69e5,अभिलेख गर्ने,12
5c7042575b,मनाइने गर्दछ,12
e483bb56c7,सम्म रहेको छ,12
632895d649,चुनिनुभएको छ,12
ffdd8db565,भेट्न पाउछन्,12
62a37ebb5d,दुईमत भए पनि,12
82cbdabc2b,उसका दश हजार,12
488d4a0cb6,जीवराज शर्मा,12
e4b17a26bf,हेर्न सक्छन्,12
393a7cee5e,हिमाल मनासलु,12
90cddd87cc,जातीय भेदभाव,12
836cd86c0b,कारण सञ्चालन,12
914ab5c375,विशेष कुशलता,12
6de933001c,सभापति हुँदै,12
e5f2c0afea,सभ्यताको भाग,12
632bc23abc,विभाग बनाउनु,12
14baf59778,विकृत गरिदिए,12
13a64ad268,किन्न पाइन्छ,12
5d71b777d0,मेची नदी सदा,12
fdba7add78,निरन्तर आवाज,12
e64b0ae82b,यही कारण जुन,12
90f481c955,हाउ क्यान आइ,12
003a7c6c2f,राज्य आसामको,12
4dcbfb75ed,कि तिनको देश,12
3737771784,उनीमाथि घटित,12
a365c78f7d,बीउ छनौट गरी,12
5cdaf8f17a,अङ्ग हुन्छन्,12
00139ba3d9,परम भक्त थिए,12
479d06da57,ल्याउन लगाएँ,12
14aa69e2b5,प्राप्त भयो।,12
13832cfca8,सुनाउँदै छन्,12
fdeef155db,यो देखोस् कि,12
483b6c24e1,सम्पन्न होस्,12
e81bd17250,औषधि उपचारमा,12
a31b0481f0,प्राचीन जाति,12
8f4d2970c9,करिब सय मिटर,12
149ffbc943,अनुभव गर्दिन,12
836902d19f,उनैको नामबाट,12
a544028581,भनेर मलाई नै,12
6576a186e3,मोडेम भनिन्छ,12
a3616fb0a5,घोषणा गरे कि,12
63d3490c66,गरिदिनु होला,12
6dda1ec85f,सजिलैसँग पुन,12
8f4eb4d156,उसको नजरमा म,12
004835bff8,छाता जति पनि,12
5d5e426023,किच्चक नामको,12
8cff491658,उनले निकै कम,12
e4a2000e77,एक बनेका थिए,12
e4689f5099,स्नातक गर्ने,12
8b80c7bd72,मेरो छिमेकमा,12
12253bb11c,क्षणिक मात्र,12
478577b81b,बग्ने गर्छन्,12
466775a1f3,समेत मानिन्छ,12
45082c67ba,लाग्न थाल्यो,12
8d163b67c1,आवश्यक पर्दा,12
648f2c70ae,सारा सेनालाई,12
a6bb709e50,अन्य स्थानमा,12
6e6c8597cb,ठाउँ नेपालको,12
371695ccfc,कमल जसो शिखर,12
e817ac15e4,अब तपाईँ र म,12
8d24d31a50,उपदेश पाइन्छ,12
e5e618995f,घटनापछि उनको,12
397c622fd9,मिसाएर खाँदा,12
63ab9b634c,महिलाहरू थिए,12
030f4ef318,बढ्दा भए जुन,12
1496455168,विकृत रूप हो,12
8c6214dc7c,दिइएको हो तर,12
8ec59f6796,ललितपुरमा हो,12
e5ec05c679,भयो भने भावी,12
e851cae62a,छन् जसबाट आय,12
82daca7406,उत्तम लेख हो,12
e46b17b50b,यदि टक् भनेर,12
e49d9d37ca,राणाले जब यो,12
373b0d070e,अभिषेक बच्चन,12
a58d6ff849,जति हेरे पनि,12
63ac4ce625,रगत सफा गर्न,12
63ba909544,गर्न लाग्छन्,12
fde817f4f6,भुटानका राजा,12
8d0fa1fa8b,फुटबल राजदूत,12
